chemical_name,measured,LOD,LOQ,not_measured
PFBS,784,0,0,0
MBP,784,0,0,0
PFOA,784,0,0,0
PFNA,784,0,0,0
MEHP,784,0,0,0
Oxyben,784,0,0,0
PFOS,783,0,1,1
PFHxS,777,1,6,7
Benzophe,775,9,0,9
PFBA,773,11,0,11
PFUnDA,754,2,28,30
PFDA,750,0,34,34
Methylp,663,119,2,121
MECPP,655,129,0,129
MEP,558,209,17,226
PFHpA,555,139,90,229
MMP,526,258,0,258
MCINP,515,269,0,269
Propylp,506,278,0,278
BPS,437,326,21,347
Ethylp,388,359,37,396
PFPeA,207,577,0,577
PFDoDA,82,139,563,702
BPA,58,726,0,726
Butylp,11,756,17,773
MCPP,10,661,113,774
MBzP,9,773,2,775
PFHxA,7,776,1,777
MNOP,0,784,0,784
